outcome,treatment,outcome_label,treatment_label,variable,importance,rank,variable_label,importance_norm
O1_rr_index,C_pers_fin_last,Racial resentment index,Personal financial retrospective pessimism,V241004,0.007141020766275712,51,Attention to politics,0.08359631832076171
O1_rr_index,C_pers_fin_last,Racial resentment index,Personal financial retrospective pessimism,V241025,0.007135924791968941,52,Party of registration,0.08353666232699747
O1_rr_index,C_pers_fin_last,Racial resentment index,Personal financial retrospective pessimism,V241320,0.0033478477393534293,53,Favor felon voting rights,0.03919156020805026
O1_rr_index,C_pers_fin_last,Racial resentment index,Personal financial retrospective pessimism,V241551,0.0031144185825858553,54,Gender identity,0.03645892313371974
O1_rr_index,C_pers_fin_last,Racial resentment index,Personal financial retrospective pessimism,V241232,0.0015902114543461508,55,Government waste,0.01861580119786892
O1_rr_index,C_pers_fin_last,Racial resentment index,Personal financial retrospective pessimism,V241497,0.0010047133232071153,56,Union membership (HH),0.01176167071024164
O1_rr_index,C_pers_fin_last,Racial resentment index,Personal financial retrospective pessimism,V241117,4.7540341672510955e-4,57,Right track / wrong track,0.005565307349758177
O1_rr_index,C_fin_nextyear,Racial resentment index,Personal financial prospective worry,V241540,0.07805408239161696,1,Able to make housing payments,1
O1_rr_index,C_fin_nextyear,Racial resentment index,Personal financial prospective worry,V241576,0.07453366112281698,2,Little interest/pleasure (PHQ-2),0.9548976663240093
O1_rr_index,C_fin_nextyear,Racial resentment index,Personal financial prospective worry,V241578,0.07066216734238186,3,Too sensitive / easily offended,0.9052975216318859
O1_rr_index,C_fin_nextyear,Racial resentment index,Personal financial prospective worry,V241621,0.05977364526928443,4,Life satisfaction,0.7657978088754541
O1_rr_index,C_fin_nextyear,Racial resentment index,Personal financial prospective worry,V241570,0.03704031465808218,5,Trouble concentrating (past week),0.47454679528793386
O1_rr_index,C_fin_nextyear,Racial resentment index,Personal financial prospective worry,V241539,0.0331513042331345,6,Financial worry (current),0.42472223383276825
